question_id,resumo,status_editorial,instituicao,banca,ano,origem_conhecida,origin_kind,autoria_provavel,rights_status,evidencia_classificacao,requires_media,media_present,media_rights_status,commercial_status,grupo_origem,disciplina,motivo,proximo_passo
ef5c8134-9cb3-46b6-818c-97c27315af75,"Paciente com insuficiência cardíaca apresenta hepatomegalia dolorosa à palpação, edema de membros inferiores, turgência jugular patológica e",published,,,,Casos Clínicos/tutorial/Cardiologia/Caso 4.docx,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Cardiologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
f15ed84b-e0b9-4b8c-8eda-e8a3f5db7816,Qual é a importância de uma endocardite infecciosa prévia como fator de risco para um novo episódio?,published,,,,Biblioteca/Medicina/Cardiologia/Clínica/Endocardite Infecciosa.docx + Casos Clínicos/tutorial/Cardiologia/Caso 3 — Endocardite Infecciosa.pdf,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Infectologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
5a90358a-8688-4d50-8ddf-b15e71d2a35a,"Como se forma uma vegetação na endocardite infecciosa, desde a lesão endotelial até o biofilme microbiano?",published,,,,Biblioteca/Medicina/Cardiologia/Clínica/Endocardite Infecciosa.docx + Casos Clínicos/tutorial/Cardiologia/Caso 3 — Endocardite Infecciosa.pdf,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Infectologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
7fc035a3-b4d9-40e5-923a-0b9f6520095a,Quais são os quatro mecanismos centrais responsáveis pelas consequências clínicas da endocardite infecciosa?,published,,,,Biblioteca/Medicina/Cardiologia/Clínica/Endocardite Infecciosa.docx + Casos Clínicos/tutorial/Cardiologia/Caso 3 — Endocardite Infecciosa.pdf,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Infectologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
d766c4f6-9bc5-46be-a401-ddb0d5c13e5f,Quais agentes devem ser priorizados na cobertura empírica inicial da endocardite infecciosa de valva nativa adquirida na comunidade?,published,,,,Biblioteca/Medicina/Cardiologia/Clínica/Endocardite Infecciosa.docx + Casos Clínicos/tutorial/Cardiologia/Caso 3 — Endocardite Infecciosa.pdf,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Infectologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
11ae579d-b89b-4ffc-b079-76ec30d1302f,Quais microrganismos devem ser considerados na endocardite de prótese valvar e de que fatores depende sua frequência?,published,,,,Biblioteca/Medicina/Cardiologia/Clínica/Endocardite Infecciosa.docx + Casos Clínicos/tutorial/Cardiologia/Caso 3 — Endocardite Infecciosa.pdf,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Infectologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
a46f08a9-3d03-481c-8f13-3d853c2bbe87,"Qual agente, valva acometida e complicação embólica são típicos da endocardite infecciosa associada ao uso de drogas injetáveis?",published,,,,Biblioteca/Medicina/Cardiologia/Clínica/Endocardite Infecciosa.docx + Casos Clínicos/tutorial/Cardiologia/Caso 3 — Endocardite Infecciosa.pdf,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Infectologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
b32b9d5c-0395-46bd-8f87-1a5d574263e2,Como deve ser investigada uma suspeita de endocardite infecciosa com hemoculturas persistentemente negativas?,published,,,,Biblioteca/Medicina/Cardiologia/Clínica/Endocardite Infecciosa.docx + Casos Clínicos/tutorial/Cardiologia/Caso 3 — Endocardite Infecciosa.pdf,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Infectologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
9a7de3d7-f3d3-4679-9d43-c31a3d23c300,Qual investigação adicional é indicada quando Streptococcus gallolyticus é isolado nas hemoculturas de um paciente com endocardite infeccios,published,,,,Biblioteca/Medicina/Cardiologia/Clínica/Endocardite Infecciosa.docx + Casos Clínicos/tutorial/Cardiologia/Caso 3 — Endocardite Infecciosa.pdf,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Infectologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
fa1043a3-9a93-495b-a1a2-132444705290,"Como a endocardite infecciosa aguda difere da subaguda quanto ao curso, ao agente típico e à condição prévia da valva?",published,,,,Biblioteca/Medicina/Cardiologia/Clínica/Endocardite Infecciosa.docx + Casos Clínicos/tutorial/Cardiologia/Caso 3 — Endocardite Infecciosa.pdf,authorial,provavel_com_dependencia_de_terceiro,pending,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.",false,false,not_applicable,hold_rights,curricular_PUC_tutorial_caso,Infectologia,"Questão redigida pelo usuário, mas o caso/tutorial-fonte citado é material curricular da instituição de ensino (PUC), possivelmente de autoria de docente/curso — extensão de reuso verbatim do caso não auditada neste levantamento. Sem atestação humana de direitos.","Obter atestação humana específica de titularidade/direitos (ou licença documentada) antes de liberação comercial; para os grupos com fonte curricular/institucional de terceiro, isso inclui validar essa fonte (autorização do docente/instituição ou reautoria preservando tema/competência)."
